Municipio,Salario,Casamentos,Matriculas,Lat,Long
elias fausto,3.3,143,3517,-47.4627451588,-23.168677599
vista alegre do alto,3.0,66,1224,-48.7285799444,-21.2145316538
monte alegre do sul,2.1,56,1291,-46.7283313788,-22.7794968671
barra do chapéu,1.8,42,1363,-
bauru,3.1,2810,66737,-49.2908609299,-22.4171851987
santa bárbara d`oeste,2.8,1337,31674,-
fernando prestes,2.1,42,969,-48.7543813744,-21.4240644654
borá,2.6,10,190,-
suzano,3.3,1705,69237,-46.3834767668,-23.744579
laranjal paulista,2.1,172,5144,-47.951204362,-23.1759472549
queiroz,2.9,24,685,-50.3380385618,-21.8913959654
ipuã,2.5,54,3108,-
capela do alto,2.0,104,4134,-47.8072143318,-23.561875143
santo antônio da alegria,1.6,38,1302,-
nova canaã paulista,2.6,8,323,-
sorocaba,3.6,5180,127235,-47.570494,-23.588905
ouro verde,2.4,75,1614,-51.8431068491,-21.6073878045
araras,3.0,869,22598,-47.4839585018,-22.4768623667
caieiras,3.5,445,20307,-46.8236739909,-23.426962
cajamar,4.0,566,15841,-46.94089849,-23.4302919409
Águas de santa bárbara,2.6,23,1203,-
nova aliança,2.5,27,1092,-
bom sucesso de itararé,2.1,13,1154,-
irapuã,1.9,45,1376,-
são lourenço da serra,1.8,95,3137,-
emilianópolis,2.0,20,495,-
sarutaiá,2.0,20,776,-
jaci,2.2,34,1154,-49.634957336,-21.0255266124
cardoso,2.4,67,2134,-50.1116963017,-20.2184050907
areiópolis,2.2,67,2541,-
avaré,2.2,460,16954,-
monte mor,3.8,349,12748,-47.4065459707,-23.0437087336
alambari,1.8,36,1146,-47.9678377937,-23.6135016437
nazaré paulista,2.8,82,3381,-
taguaí,1.4,60,2229,-
cabrália paulista,2.1,26,1083,-
guaimbê,2.2,78,1250,-
américo de campos,2.0,59,1108,-
bertioga,2.9,337,13218,-46.242677,-23.888888
santa isabel,2.6,355,11624,-46.364157,-23.407777
catanduva,2.7,853,20100,-49.0913314559,-21.2545676854
são josé dos campos,4.5,4649,132718,-
embu das artes,2.9,1223,57226,-
cruzeiro,3.8,546,16315,-45.1243585097,-22.6602585569
andradina,2.5,329,9976,-51.4816126364,-21.0855767839
pilar do sul,2.0,215,6042,-47.8775500188,-24.0093796401
mombuca,2.4,37,794,-47.7011878596,-22.9979331075
echaporã,2.2,50,1227,-
