CAMPOS NOVOS PAULISTA,-50.138773824,-22.7843042981
CANANÉIA,-48.2396928397,-25.3123209493
CANAS,-45.0752429694,-22.8101197829
CÂNDIDO MOTA,-50.5787183474,-22.9464074024
CÂNDIDO RODRIGUES,-48.6841510055,-21.3942957208
CANITAR,-49.8368990069,-23.0769538092
CAPÃO BONITO,-48.5866936819,-24.2819126873
CAPELA DO ALTO,-47.8072143318,-23.561875143
CAPIVARI,-47.6233063561,-23.1280615142
CARAGUATATUBA,-45.7196583481,-23.7600041491
CARAPICUÍBA,-46.876765,-23.5843107429
CARDOSO,-50.1116963017,-20.2184050907
CASA BRANCA,-47.2413592787,-22.0106718538
CÁSSIA DOS COQUEIROS,-47.2344854692,-21.3486568651
CASTILHO,-51.7724764338,-21.1698638302
CATANDUVA,-49.0913314559,-21.2545676854
CATIGUÁ,-49.1334856022,-21.1357619761
CEDRAL,-49.374709,-21.0192272731
CERQUEIRA CÉSAR,-49.2487121394,-23.2600661261
CERQUILHO,-47.8277334447,-23.2531428676
CESÁRIO LANGE,-48.0091761656,-23.2838272308
CHARQUEADA,-47.8309130321,-22.6088030692
CLEMENTINA,-50.5574939361,-21.662100646
COLINA,-48.7536692786,-20.8409770959
COLÔMBIA,-48.8887603869,-20.3989510904
CONCHAL,-47.209725137,-22.4819606155
CONCHAS,-48.1661715089,-23.1042416591
CORDEIRÓPOLIS,-47.4932981158,-22.5369893063
COROADOS,-50.442736815,-21.5121520001
CORONEL MACEDO,-49.4764079175,-23.738041719
CORUMBATAÍ,-47.7240467806,-22.3352038977
COSMÓPOLIS,-47.2790551155,-22.7351255234
COSMORAMA,-49.92444,-20.5909879051
COTIA,-47.084756,-23.80345
CRAVINHOS,-47.907087,-21.428499
CRISTAIS PAULISTA,-47.5294886473,-20.4654832035
CRUZÁLIA,-50.8536711868,-22.8009422857
CRUZEIRO,-45.1243585097,-22.6602585569
CUBATÃO,-46.496237,-23.9414606115
CUNHA,-45.1643051761,-23.3239187835
DESCALVADO,-47.7919182588,-22.0550822949
DIADEMA,-46.651291,-23.739143
DIRCE REIS,-50.6720426231,-20.5172186745
DIVINOLÂNDIA,-46.8052240557,-21.7689368505
DOBRADA,-48.4762691466,-21.5575125444
DOIS CÓRREGOS,-48.488565932,-22.6254204967
DOLCINÓPOLIS,-50.5843976422,-20.1763438496
DOURADO,-48.4462134144,-22.1987684202
DRACENA,-51.7155989927,-21.6871394983
DUARTINA,-49.5157009123,-22.5034107306
DUMONT,-48.05326,-21.310095
ECHAPORÃ,-50.3499943343,-22.593134668
ELDORADO,-48.4645964414,-24.8070857845
ELIAS FAUSTO,-47.4627451588,-23.168677599
ELISIÁRIO,-49.153310251,-21.2212303838
EMBAÚBA,-48.9109938046,-21.0155150637
EMBU,-46.918322,-23.6882076811
EMBU-GUAÇU,-46.9121831896,-23.9418610639
